id,SpeciesName,ResearchedBy,DataSuppliedBy,RefereedBy,Phylum,Class,Ordr,Family,Genus,Species,FoodType,Size,Flexibility,Fragility,Habit,Bioturbator,GrowthRate,DispPotAdult,Dependency,Sociability,Regeneration,Toxic,LifeSpan,Maturity,GenerationTime,ReprodFreq,ReprodSeason,LarvalSettlePeriod,Fecundity,EggSize,FertilizationType,DispPotLarvae,LarvalSettlingTime,ReprodLocation,BiogeographicRange,DepthRange,Migratory,biozone,devmech,envpos,feedingmethod,growthform,mobility,physpref,reprodtype,salinity,substratum,waterflow,waveexp
6035,"Abietinaria abietina","Dr Paul Somerfield & Prof. Richard Warwick",PML,"This information is not refereed",Cnidaria,Leptolida,Conica,Plumulariidae,Abietinaria,abietina,Zooplankton,Medium-large(21-50cm),"High (>45 degrees)",Fragile,Erect,,"Not researched","Not researched",Independent,Colonial,1,"Not researched","Insufficient information","Insufficient information","Not researched",,"January to March / June to August","Possibly January to March / June to August","Insufficient information","Insufficient information",External,"Not researched","Not relevant","As adult","Boreal to warm temperate.","10 m to offshore and on strandline","Non-migratory / Resident",,Brooding,"Epifaunal, Epilithic",Predator,Dendroid,"Permanent attachment",,Gonochoristic,,"Bedrock, Large to very large boulders, Small boulders, Cobbles",,
6207,"Abludomelita obtusata","Lizzie Tyler","University of Sheffield","This information is not refereed.",Arthropoda,Malacostraca,Amphipoda,Melitidae,Abludomelita,obtusata,,"Very small(<1cm)",,,,,,,,Solitary,,,,,," ",,,,,,,,,,,"Non-migratory / Resident",,,,"Surface deposit feeder, Sub-surface deposit feeder",,"Swimmer, Burrower",,,,,,
4423,"Abra alba","Lizzie Tyler","University of Sheffield","This information is not refereed.",Mollusca,Pelecypoda,Veneroida,Semelidae,Abra,alba,"Phytoplankton, detritus.",Small(1-2cm),"None (< 10 degrees)",Intermediate,"Burrow dwelling",,"0.1 mm/day",100-1000m,Independent,Solitary,0,,"1-2 years",,"<1 year","Annual protracted","February to Autumn","Insufficient information",17000,"60 &#181;m diameter",External,>10km,"1-2 months","Water column","Not researched","0 - 60 m","Non-migratory / Resident","Sublittoral Fringe, Upper Infralittoral, Lower Infralittoral, Upper Circalittoral, Lower Circalittoral",Planktotrophic,Infaunal,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder",Bivalved,Burrower,"Open coast, Offshore seabed, Strait / sound, Sealoch, Enclosed coast / Embayment",Gonochoristic,"Full (30-40 psu)","Muddy gravel, Sandy mud, Mud, Muddy sand","Weak (<1 kn)",Sheltered
6208,"Abra nitida","Lizzie Tyler","University of Sheffield","This information is not refereed.",Mollusca,Bivalvia,Veneroida,Semelidae,Abra,nitida,,Small(1-2cm),,,,,,,,,,,"2-3 years",,," ",,,,,,,,,,,,,Planktotrophic,,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder",,,,,,,,
6209,"Abra prismatica","Lizzie Tyler","University of Sheffield","This information is not refereed.",Mollusca,Bivalvia,Veneroida,Semelidae,Abra,prismatica,,Small(1-2cm),,,,,,,,Solitary,,,,,," ",,,,,,,,,,,,,,,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder",Articulate,,,,,,,
6210,"Abra tenuis","Lizzie Tyler","University of Sheffield","This information is not refereed.",Mollusca,Bivalvia,Veneroida,Semelidae,Abra,tenuis,,Small(1-2cm),,,,,,,,,,,"1-2 years","1 year",," ",,,1000,"140 &#181;m diameter",,,,,,,,,"Direct Development",,"Passive suspension feeder, Active suspension feeder, Surface deposit feeder, Sub-surface deposit feeder",,,,,,,,
6180,"Acanthocardia echinata","Lizzie Tyler","University of Sheffield","This information is not refereed.",Mollusca,Pelecypoda,Veneroida,Cardiidae,Acanthocardia,echinata,"Phytoplankton and suspended organic material",Small-medium(3-10cm),"None (< 10 degrees)",Robust,"Free living","Not relevant","Not Researched","Not researched",Independent,Solitary,0,0,"11-20 years",,"Not researched","Annual episodic","Not researched","Not researched",,,External,"Not researched",,"Water column","Temperate to warm temperate.",,"Non-migratory / Resident","Upper Infralittoral, Lower Infralittoral, Upper Circalittoral, Lower Circalittoral, Circalittoral Offshore",Planktotrophic,Infaunal,"Passive suspension feeder, Active suspension feeder",Bivalved,Burrower,"Open coast, Offshore seabed, Strait / sound, Estuary, Enclosed coast / Embayment",Gonochoristic,"Full (30-40 psu)","Muddy gravel, Mud, Muddy sandy gravel, Muddy gravelly sand","Field unresearched","Field unresearched"
6211,"Acanthocardia tuberculata","Lizzie Tyler","University of Sheffield","This information is not refereed.",Mollusca,Bivalvia,Veneroida,Cardiidae,Acanthocardia,tuberculata,,Small-medium(3-10cm),,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,
6212,"Acteon tornatilis","Lizzie Tyler","University of Sheffield","This information is not refereed.",Mollusca,Gastropoda,Cephalaspidea,Acteonidae,Acteon,tornatilis,,Small(1-2cm),,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,
5988,"Actinauge richardi","Charlotte Marshall",<em>MarLIN</em>,"This information is not refereed.",Cnidaria,Hexacorallia,Actinaria,Hormathiidae,Actinauge,richardi,"Insufficient information","Medium(11-20 cm)","High (>45 degrees)",Intermediate,Attached,"Not relevant","Insufficient information","Insufficient information",Independent,Solitary,,,"Insufficient information","Insufficient information","Insufficient information","Insufficient information","Insufficient information","Insufficient information","Insufficient information","Insufficient information","Insufficient information","Insufficient information","Insufficient information","Insufficient information","Not researched",">50 m - ca 730 m","Non-migratory / Resident","Circalittoral Offshore",,Epibenthic,"Passive suspension feeder, Predator","Radial, Globose","Temporary attachment","Offshore seabed","Insufficient information","Full (30-40 psu)","Coarse clean sand, Fine clean sand, Sandy mud, Muddy sand, Mud","Insufficient information","Insufficient information"
