phylum,family,order,n_species,species,any_in_biotic
Annelida,Spionidae,Spionida,12,Spiophanes kroyeri; Aonides oxycephala; Laonice bahusiensis; Dipolydora coeca; Prionospio cirrifera; Spionidae; Spio decorata; Prionospio fallax; Laonice; Pseudopolydora pulchra; Prionospio; Prionospio polybranchiata,FALSE
Annelida,Cirratulidae,Terebellida,11,Chaetozone zetlandica; Chaetozone gibber; Aphelochaeta; Chaetozone; Kirkegaardia dorsobranchialis; Cirratulidae; Kirkegaardia; Caulleriella alata; Chaetozone christiei; Cirratulus; Tharyx,FALSE
Annelida,Maldanidae,NA,9,Praxillella affinis; Maldanidae; Euclymene oerstedii; Euclymene; Praxillella praetermissa; Clymenura; Euclymene lombricoides; Praxillella gracilis; Rhodine gracilior,FALSE
Annelida,Syllidae,Phyllodocida,9,Pseudosyllis brevipennis; Sphaerosyllis taylori; Syllis armillaris; Sphaerosyllis; Eurysyllis tuberculata; Exogone verugera; Exogone dispar; Parexogone hebes; Syllis garciai,FALSE
Mollusca,Veneridae,Venerida,9,Clausinella fasciata; Dosinia exoleta; Gouldia minima; Dosinia; Dosinia lupinus; Chamelea striatula; Veneridae; Tapes; Venus casina,FALSE
Annelida,Ampharetidae,Terebellida,6,Ampharete lindstroemi; Ampharetidae; Sosane sulcata; Anobothrus gracilis; Ampharetinae; Ampharete,FALSE
Annelida,Polynoidae,Phyllodocida,6,Polynoidae; Malmgrenia mcintoshi; Harmothoe; Malmgrenia marphysae; Malmgrenia; Harmothoe extenuata,FALSE
Annelida,Terebellidae,Terebellida,6,Polycirrus; Polycirrini; Pista cristata; Terebellidae; Amphitrite cirrata; Pista,FALSE
Annelida,Hesionidae,Phyllodocida,5,Oxydromus flexuosus; Hesiospina aurantiaca; Psamathe fusca; Hesionidae; Podarkeopsis capensis,FALSE
Annelida,Lumbrineridae,Eunicida,5,Lumbrineris cingulata; Lumbrineridae; Lumbrineris; Scoletoma fragilis; Abyssoninoe hibernica,FALSE
Annelida,Sabellidae,Sabellida,5,Sabellidae; Jasmineira caudata; Chone filicaudata; Euchone; Jasmineira elegans,FALSE
Annelida,Serpulidae,Sabellida,5,Hydroides norvegica; Spirobranchus triqueter; Serpulidae; Spirobranchus; Spirobranchus lamarcki,FALSE
Annelida,Golfingiidae,Sipuncula,4,Golfingia (Golfingia) vulgaris vulgaris; Golfingia (Golfingia) elongata; Phascolion (Phascolion) strombus strombus; Thysanocardia procera,FALSE
Annelida,Phyllodocidae,Phyllodocida,4,Nereiphylla rubiginosa; Eumida sanguinea; Phyllodocidae; Eumida bahusiensis,FALSE
Annelida,Sigalionidae,Phyllodocida,4,Pholoe baltica; Pholoe inornata; Pholoe; Sthenelais limicola,FALSE
Annelida,Trichobranchidae,Terebellida,4,Terebellides stroemii; Trichobranchus roseus; Trichobranchus; Trichobranchus glacialis,FALSE
Mollusca,Psammobiidae,Cardiida,4,Gari fervensis; Gari tellinella; Gari; Gari costulata,FALSE
Annelida,Capitellidae,NA,3,Notomastus; Dasybranchus; Capitellidae,FALSE
Annelida,Oweniidae,NA,3,Galathowenia oculata; Oweniidae; Galathowenia fragilis,FALSE
Annelida,Pectinariidae,Terebellida,3,Amphictene auricoma; Lagis koreni; Pectinaria belgica,FALSE
Arthropoda,Corophiidae,Amphipoda,3,Leptocheirus pectinatus; Leptocheirus hirsutimanus; Corophium,FALSE
Echinodermata,Ophiuridae,Ophiurida,3,Ophiuridae; Ophiocten affinis; Ophiura,FALSE
Echinodermata,NA,NA,3,Ophiuroidea; Echinoidea; Asteroidea,FALSE
Mollusca,Cardiidae,Cardiida,3,Papillicardium minimum; Parvicardium pinnulatum; Parvicardium,FALSE
Mollusca,Lasaeidae,Galeommatida,3,Kurtiella bidentata; Tellimya ferruginosa; Kellia suborbicularis,FALSE
Mollusca,Nuculidae,Nuculida,3,Ennucula tenuis; Nucula nucleus; Nucula hanleyi,FALSE
Mollusca,Rissoidae,Littorinimorpha,3,Alvania punctura; Onoba semicostata; Rissoa parva,FALSE
Mollusca,Tellinidae,Cardiida,3,Moerella donacina; Asbjornsenia pygmaea; Arcopagia crassa,FALSE
Mollusca,NA,NA,3,Thracioidea; Gastropoda; Bivalvia,FALSE
Annelida,Flabelligeridae,Terebellida,2,Diplocirrus glaucus; Diplocirrus,FALSE
Annelida,Glyceridae,Phyllodocida,2,Glycera unicornis; Glycera celtica,FALSE
Annelida,Magelonidae,NA,2,Magelona alleni; Magelona,FALSE
Annelida,Nephtyidae,Phyllodocida,2,Nephtys kersivalensis; Nephtys,FALSE
Arthropoda,Ampeliscidae,Amphipoda,2,Ampelisca; Ampelisca typica,FALSE
Arthropoda,Aoridae,Amphipoda,2,Microdeutopus; Aora typica,FALSE
Arthropoda,Caprellidae,Amphipoda,2,Phtisica marina; Pseudoprotella phasma,FALSE
Arthropoda,Dexaminidae,Amphipoda,2,Dexamine spinosa; Dexamine thea,FALSE
Arthropoda,Lysianassidae,Amphipoda,2,Lysianassa plumosa; Socarnes erythrophthalmus,FALSE
Arthropoda,Maeridae,Amphipoda,2,Animoceradocus semiserratus; Othomaera othonis,FALSE
Arthropoda,Paguridae,Decapoda,2,Paguridae; Anapagurus hyndmanni,FALSE
Arthropoda,Phoxocephalidae,Amphipoda,2,Harpinia antennaria; Metaphoxus fultoni,FALSE
Arthropoda,Tryphosidae,Amphipoda,2,Tryphosa nana; Lepidepecreum longicorne,FALSE
Arthropoda,NA,NA,2,Ostracoda; Copepoda,FALSE
Chordata,Styelidae,Stolidobranchia,2,Polycarpa; Pelonaia corrugata,FALSE
