phylum,family,order,n_species,species,any_in_biotic
Annelida,Spionidae,Spionida,6,Spiophanes kroyeri; Aonides oxycephala; Laonice bahusiensis; Prionospio cirrifera; Dipolydora coeca; Spio decorata,FALSE
Mollusca,Veneridae,Venerida,6,Gouldia minima; Dosinia exoleta; Clausinella fasciata; Dosinia; Dosinia lupinus; Chamelea striatula,FALSE
Annelida,Ampharetidae,Terebellida,4,Sosane sulcata; Ampharete lindstroemi; Ampharetidae; Anobothrus gracilis,FALSE
Annelida,Lumbrineridae,Eunicida,4,Lumbrineris cingulata; Lumbrineris; Lumbrineridae; Scoletoma fragilis,FALSE
Annelida,Maldanidae,NA,4,Praxillella affinis; Euclymene oerstedii; Euclymene; Maldanidae,FALSE
Annelida,Polynoidae,Phyllodocida,4,Malmgrenia mcintoshi; Malmgrenia marphysae; Polynoidae; Harmothoe,FALSE
Annelida,Sabellidae,Sabellida,4,Chone filicaudata; Jasmineira caudata; Sabellidae; Jasmineira elegans,FALSE
Annelida,Syllidae,Phyllodocida,4,Sphaerosyllis taylori; Sphaerosyllis; Pseudosyllis brevipennis; Exogone dispar,FALSE
Annelida,Cirratulidae,Terebellida,3,Chaetozone zetlandica; Chaetozone gibber; Chaetozone christiei,FALSE
Annelida,Serpulidae,Sabellida,3,Spirobranchus triqueter; Hydroides norvegica; Spirobranchus lamarcki,FALSE
Annelida,Terebellidae,Terebellida,3,Polycirrus; Polycirrini; Pista cristata,FALSE
Arthropoda,Corophiidae,Amphipoda,3,Leptocheirus hirsutimanus; Corophium; Leptocheirus pilosus,FALSE
Arthropoda,NA,NA,3,Ostracoda; Malacostraca; Copepoda,FALSE
Echinodermata,Ophiuridae,Ophiurida,3,Ophiura; Ophiuridae; Ophiocten affinis,FALSE
Mollusca,Nuculidae,Nuculida,3,Ennucula tenuis; Nucula nucleus; Nucula hanleyi,FALSE
Annelida,Capitellidae,NA,2,Notomastus; Dasybranchus,FALSE
Annelida,Nephtyidae,Phyllodocida,2,Nephtys kersivalensis; Nephtys,FALSE
Annelida,Oweniidae,NA,2,Galathowenia oculata; Oweniidae,FALSE
Annelida,Sigalionidae,Phyllodocida,2,Pholoe baltica; Pholoe inornata,FALSE
Annelida,Trichobranchidae,Terebellida,2,Terebellides stroemii; Trichobranchus roseus,FALSE
Arthropoda,Lysianassidae,Amphipoda,2,Lysianassa plumosa; Socarnes erythrophthalmus,FALSE
Chordata,Styelidae,Stolidobranchia,2,Polycarpa; Pelonaia corrugata,FALSE
Cnidaria,Edwardsiidae,Actiniaria,2,Edwardsia claparedii; Edwardsiidae,FALSE
Echinodermata,Amphiuridae,Amphilepidida,2,Amphiuridae; Amphipholis squamata,FALSE
Mollusca,Leptochitonidae,Lepidopleurida,2,Leptochiton asellus; Leptochiton cancellatus,FALSE
Mollusca,Lottiidae,Nacellida,2,Testudinalia testudinalis; Tectura virginea,FALSE
Mollusca,Psammobiidae,Cardiida,2,Gari tellinella; Gari fervensis,FALSE
Mollusca,Thraciidae,NA,2,Thracia; Thracia phaseolina,FALSE
Mollusca,NA,NA,2,Thracioidea; Gastropoda,FALSE
Annelida,Acrocirridae,Terebellida,1,Macrochaeta,FALSE
Annelida,Enchytraeidae,Enchytraeida,1,Grania,FALSE
Annelida,Eunicidae,Eunicida,1,Lysidice unicornis,FALSE
Annelida,Flabelligeridae,Terebellida,1,Diplocirrus glaucus,FALSE
Annelida,Glyceridae,Phyllodocida,1,Glycera unicornis,FALSE
Annelida,Hesionidae,Phyllodocida,1,Hesiospina aurantiaca,FALSE
Annelida,Magelonidae,NA,1,Magelona alleni,FALSE
