phylum,family,order,n_species,species,any_in_biotic
Annelida,Spionidae,Spionida,12,Spiophanes kroyeri; Aonides oxycephala; Laonice bahusiensis; Dipolydora coeca; Prionospio cirrifera; Spionidae; Spio decorata; Prionospio fallax; Laonice; Prionospio; Prionospio polybranchiata; Pseudopolydora pulchra,FALSE
Annelida,Cirratulidae,Terebellida,10,Chaetozone zetlandica; Chaetozone gibber; Aphelochaeta; Kirkegaardia dorsobranchialis; Chaetozone; Cirratulidae; Caulleriella alata; Chaetozone christiei; Cirratulus; Kirkegaardia,FALSE
Annelida,Syllidae,Phyllodocida,9,Pseudosyllis brevipennis; Sphaerosyllis taylori; Syllis armillaris; Exogone verugera; Sphaerosyllis; Eurysyllis tuberculata; Exogone dispar; Syllis garciai; Parexogone hebes,FALSE
Annelida,Maldanidae,NA,8,Praxillella affinis; Maldanidae; Euclymene; Euclymene oerstedii; Praxillella praetermissa; Clymenura; Euclymene lombricoides; Rhodine gracilior,FALSE
Mollusca,Veneridae,Venerida,8,Clausinella fasciata; Dosinia exoleta; Gouldia minima; Dosinia; Dosinia lupinus; Chamelea striatula; Tapes; Venus casina,FALSE
Annelida,Ampharetidae,Terebellida,6,Ampharete lindstroemi; Ampharetidae; Sosane sulcata; Anobothrus gracilis; Ampharetinae; Ampharete,FALSE
Annelida,Polynoidae,Phyllodocida,6,Polynoidae; Malmgrenia mcintoshi; Harmothoe; Malmgrenia marphysae; Malmgrenia; Harmothoe extenuata,FALSE
Annelida,Terebellidae,Terebellida,6,Polycirrus; Polycirrini; Pista cristata; Terebellidae; Amphitrite cirrata; Pista,FALSE
Annelida,Lumbrineridae,Eunicida,5,Lumbrineris cingulata; Lumbrineridae; Lumbrineris; Scoletoma fragilis; Abyssoninoe hibernica,FALSE
Annelida,Phyllodocidae,Phyllodocida,5,Nereiphylla rubiginosa; Eumida sanguinea; Phyllodocidae; Eumida bahusiensis; Eulalia bilineata,FALSE
Annelida,Sabellidae,Sabellida,5,Sabellidae; Jasmineira caudata; Chone filicaudata; Euchone; Jasmineira elegans,FALSE
Annelida,Serpulidae,Sabellida,5,Hydroides norvegica; Spirobranchus triqueter; Spirobranchus; Serpulidae; Spirobranchus lamarcki,FALSE
Annelida,Golfingiidae,Sipuncula,4,Golfingia (Golfingia) vulgaris vulgaris; Golfingia (Golfingia) elongata; Phascolion (Phascolion) strombus strombus; Thysanocardia procera,FALSE
Annelida,Sigalionidae,Phyllodocida,4,Pholoe baltica; Pholoe inornata; Pholoe; Sthenelais limicola,FALSE
Annelida,Trichobranchidae,Terebellida,4,Terebellides stroemii; Trichobranchus roseus; Trichobranchus; Trichobranchus glacialis,FALSE
Echinodermata,NA,NA,4,Ophiuroidea; Echinoidea; Asteroidea; Holothuroidea,FALSE
Mollusca,Psammobiidae,Cardiida,4,Gari fervensis; Gari tellinella; Gari; Gari costulata,FALSE
Annelida,Capitellidae,NA,3,Notomastus; Dasybranchus; Capitellidae,FALSE
Annelida,Glyceridae,Phyllodocida,3,Glycera unicornis; Glycera celtica; Glyceridae,FALSE
Annelida,Hesionidae,Phyllodocida,3,Oxydromus flexuosus; Hesiospina aurantiaca; Psamathe fusca,FALSE
Annelida,Oweniidae,NA,3,Galathowenia oculata; Oweniidae; Galathowenia fragilis,FALSE
Annelida,Pectinariidae,Terebellida,3,Amphictene auricoma; Lagis koreni; Pectinaria belgica,FALSE
Arthropoda,Corophiidae,Amphipoda,3,Leptocheirus pectinatus; Corophium; Leptocheirus hirsutimanus,FALSE
Arthropoda,NA,NA,3,Ostracoda; Copepoda; Crustacea,FALSE
Echinodermata,Ophiuridae,Ophiurida,3,Ophiuridae; Ophiocten affinis; Ophiura,FALSE
Mollusca,Cardiidae,Cardiida,3,Papillicardium minimum; Parvicardium; Parvicardium pinnulatum,FALSE
Mollusca,Lasaeidae,Galeommatida,3,Kurtiella bidentata; Tellimya ferruginosa; Kellia suborbicularis,FALSE
Mollusca,Nuculidae,Nuculida,3,Ennucula tenuis; Nucula nucleus; Nucula hanleyi,FALSE
Mollusca,Rissoidae,Littorinimorpha,3,Alvania punctura; Onoba semicostata; Rissoa parva,FALSE
Mollusca,NA,NA,3,Thracioidea; Bivalvia; Gastropoda,FALSE
Annelida,Flabelligeridae,Terebellida,2,Diplocirrus glaucus; Diplocirrus stopbowitzi,FALSE
Annelida,Nephtyidae,Phyllodocida,2,Nephtys kersivalensis; Nephtys,FALSE
Arthropoda,Caprellidae,Amphipoda,2,Phtisica marina; Pseudoprotella phasma,FALSE
Arthropoda,Dexaminidae,Amphipoda,2,Dexamine spinosa; Dexamine thea,FALSE
Arthropoda,Diastylidae,Cumacea,2,Diastylis cornuta; Diastylis rugosa,FALSE
Arthropoda,Lysianassidae,Amphipoda,2,Lysianassa plumosa; Socarnes erythrophthalmus,FALSE
